"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015698","GO:0015698","inorganic anion transport","107/3294","256/20876",1.33061984579954e-23,1.9003670706828e-21,1.36754613817101e-21,"AZI1/NA/AtHIR2/AtNPF2.13/LTPG5/LBD38/AtRAV2/ORF02/NA/NA/AtPRX71/ATBCA4/AtGDPD2/AtNPF7.3/UGT72E1/NA/AHA2/AtG3Pp4/AGP2/AtNPF6.3/NA/NA/NA/NA/BGLU26/NA/RHS13/NA/ATHNIR/AtATL15/MAP18/NA/CYP71B7/ATFLS5/NA/ACO5/NA/NA/NA/PME1/SS2/SAUR55/NA/NA/ATPT1/ATPPC3/NA/AGP22/ASFT/ATPHO1/ATSERAT2;1/SEL1/MLP329/AtZIP2/GAD/NA/NA/ATSTP4/ARA8/ATOCT3/SLAH3/NA/NA/ATWRKY65/ATIRT1/ATGRXS13/PHT4;5/NA/NA/NIP6/NA/ATSBT4.12/NA/NA/NA/SFP1/ATSPX4/AtWRKY47/ATCLC-B/MT1C/UCC2/ATKC1/ATTIP2;3/ATWRKY9/ATGSTF14/NA/MOT2/NA/NA/NA/CRK19/BAT1/ZIP3/TRI/NA/NA/NA/AtNIP5;1/NA/STOP2/WDL3/AtNPF2.7/AKT1/ATOCT6/CYP705A8/CYP87A2/ATWRKY36",107
"GO:0009733","GO:0009733","response to auxin","149/3294","424/20876",4.32178556805541e-23,5.65793760617921e-21,4.07157692990484e-21,"ALDH7B4/ABI1/AFP1/ANAC072/ADC2/HAI1/SAUR78/ATFLS1/EXGT-A1/ATBT2/PIF5/BT1/CIR1/GBF3/A11/TCH4/ATCHS/ATBT4/AIR3/IAA2/NA/ANAC019/AtCCA1/AtMYB74/AtNPF7.3/ATMYB75/IAA16/CYP75B1/BT5/ATPRP3/CML24/ATRHM1/AXR2/SAUR16/ELF3/SAUR6/BLH1/SKP2A/ATHB-2/AtAUX1/LHY/SAUR50/SAUR14/ATCPK32/AIR1/SGT1A/SAUR24/LCL5/AILP1/ATMDAR3/JAZ7/ATM4/ATMYB59/RPL24/ATSYP122/SAUR63/LCL1/SAUR55/ABCB19/SAUR20/AT-SYR1/ATMYB30/ATAUX2-11/RGA/SAUR62/SAUR35/GH3.5/NA/GH3.17/ATIPS2/ATMYB94/AtPIF4/IBR1/ATSK21/ATMYB12/TTL3/AtMYB51/ACS6/SAUR64/SAUR67/SAUR29/ATIRT1/SAUR37/TAT/JAZ2/ATMYB3/ATMYB2/SAUR74/SAUR65/AXR3/ANAC092/DFL1/NF-YA4/SAUR22/SAUR23/ATSAUR15/JAS1/NA/IAA26/ARGOS/AZF2/CYP94C1/AS1/ATHB40/SAUR26/PBP1/AFB1/ABCB21/NA/5PTASE11/IAA19/5PTASE2/IAA32/ATHB20/ATERF11/JAZ5/TBL17/NA/SAUR49/BAS1/IAA18/RVE1/ABCB15/IAA29/ATPURC/GH3.9/WOX5/ATL31/UNE11/NA/ABCG40/PDLZ2/ABA3/SAUR4/GES/MIF1/ATERF13/BDL/AGR/SAUR27/SAUR66/ABCB14/IAA14/AtRPK1/SAUR5/IAA27/SAUR7/LAX3/ABCG37",149
"GO:0009991","GO:0009991","response to extracellular stimulus","135/3294","373/20876",2.28636169673307e-22,2.61850033267884e-20,1.88433070273515e-20,"ATCOR413-PM1/LHCB2/COR413-TM1/COR15B/RD2/ATCOL5/PY/UBC32/ATACP5/NA/PIP1;4/ASN1/NA/NA/NA/CAT2/NA/ATMGL/NA/DALL3/SUE4/AtPIP2;1/PYD4/NA/AtGDPD2/AtNPF7.3/ATCYS1/AKINBETA1/NF-YA7/PYD1/COR314-TM2/ATCAT3/NA/ATPRP3/NA/PIP2;5/NA/ATRNS1/HIPP22/NA/MEE31/ATATG8E/NA/CYP76C2/RHS13/NA/ATCRY1/AtATL15/MAP18/NF-YA5/NA/ATFLS5/ACO5/UGT74E2/NA/CAT1/HRS1/NA/NA/NA/NA/NA/ATPT1/ATPPC3/NA/AGP22/AT4/VHA-A2/MBS1/ATIPS2/ATPHO1/ATSERAT2;1/SEL1/AtPPsPase1/MLP329/ATMSRB7/AtZIP2/APS3/NA/SIB1/LPR1/ALN/NA/ATWRKY65/ATIRT1/ANAC013/NA/NA/NIP6/NA/MAN1/ATMYB2/NA/CRK10/ATSBT4.12/ATMSRB3/IAA26/NA/ATSPX4/PIP2;4/PYE/AFB1/BTS/BCE2/ATIPS1/AtMYB28/ATTIP2;3/ATATG18H/ATWRKY9/ATMYB29/NA/NA/NA/NA/ATL31/BAT1/ZIP3/TRI/PDLZ2/GES/NA/NA/DGD2/NA/NA/AtNIP5;1/NA/STOP2/WDL3/CRK36/AKT1/ATOCT6/ATEDS1/CYP705A8/CYP87A2",135
"GO:0042538","GO:0042538","hyperosmotic salinity response","78/3294","161/20876",2.33348215515619e-22,2.61850033267884e-20,1.88433070273515e-20,"COR15/COR78/ATP5CS/ATVSP2/AtCLO3/CORI3/LTP3/COR413-TM1/AHG3/ABI1/NA/ATHVA22D/ATHB-7/AFP1/ANAC072/ADC2/HAI1/NA/ASN2/LTP4/GBF3/ABI2/NA/ATNCED3/P5CS2/ATCIPK6/ANAC019/RCI2A/AtMYB74/ATERF-1/ATTIL/GLYI7/ATCPK32/NA/ATHVA22E/ATMDAR3/JAZ7/UGT74E2/ATLTL1/ATM4/ANAC002/ATSYP122/ATHVA22A/ATCBF3/AT-SYR1/RGA/NA/NA/ATCP1/ATHVA22C/ATHVA22B/TAT/DELTA-OAT/JAZ2/ATMYB2/AERD2/AtPNC2/ANAC092/JAS1/AZF2/CYP94C1/ANAC091/NA/PBP1/NA/5PTASE2/ATCBL10/ATERF11/JAZ5/TBL17/ATL31/ABCG40/ABA3/ATERF#011/GES/NA/ATERF13/AtRPK1",78
"GO:0031668","GO:0031668","cellular response to extracellular stimulus","128/3294","349/20876",7.47691002030274e-22,7.83081709459707e-20,5.63522902582817e-20,"ATCOR413-PM1/LHCB2/COR413-TM1/COR15B/RD2/ATCOL5/UBC32/ATACP5/PIP1;4/ASN1/NA/NA/NA/CAT2/NA/ATMGL/NA/DALL3/SUE4/AtPIP2;1/PYD4/NA/AtGDPD2/AtNPF7.3/ATCYS1/AKINBETA1/NF-YA7/PYD1/COR314-TM2/ATCAT3/NA/ATPRP3/NA/PIP2;5/NA/ATRNS1/HIPP22/NA/ATATG8E/NA/CYP76C2/RHS13/NA/ATCRY1/MAP18/NF-YA5/NA/ATFLS5/ACO5/UGT74E2/NA/CAT1/HRS1/NA/NA/NA/NA/NA/ATPT1/ATPPC3/NA/AGP22/AT4/VHA-A2/MBS1/ATIPS2/ATPHO1/ATSERAT2;1/SEL1/AtPPsPase1/MLP329/AtZIP2/APS3/NA/SIB1/LPR1/ALN/NA/ATWRKY65/ATIRT1/ANAC013/NA/NA/NIP6/NA/MAN1/ATMYB2/NA/CRK10/ATSBT4.12/ATMSRB3/IAA26/NA/ATSPX4/PIP2;4/PYE/AFB1/BTS/BCE2/ATIPS1/AtMYB28/ATTIP2;3/ATATG18H/ATWRKY9/ATMYB29/NA/NA/NA/NA/ATL31/BAT1/ZIP3/TRI/PDLZ2/NA/NA/DGD2/NA/NA/AtNIP5;1/NA/STOP2/WDL3/CRK36/AKT1/ATOCT6/CYP705A8/CYP87A2",128
"GO:0071496","GO:0071496","cellular response to external stimulus","128/3294","350/20876",9.99030926884333e-22,9.80923491334554e-20,7.0589422070643e-20,"ATCOR413-PM1/LHCB2/COR413-TM1/COR15B/RD2/ATCOL5/UBC32/ATACP5/PIP1;4/ASN1/NA/NA/NA/CAT2/NA/ATMGL/NA/DALL3/SUE4/AtPIP2;1/PYD4/NA/AtGDPD2/AtNPF7.3/ATCYS1/AKINBETA1/NF-YA7/PYD1/COR314-TM2/ATCAT3/NA/ATPRP3/NA/PIP2;5/NA/ATRNS1/HIPP22/NA/ATATG8E/NA/CYP76C2/RHS13/NA/ATCRY1/MAP18/NF-YA5/NA/ATFLS5/ACO5/UGT74E2/NA/CAT1/HRS1/NA/NA/NA/NA/NA/ATPT1/ATPPC3/NA/AGP22/AT4/VHA-A2/MBS1/ATIPS2/ATPHO1/ATSERAT2;1/SEL1/AtPPsPase1/MLP329/AtZIP2/APS3/NA/SIB1/LPR1/ALN/NA/ATWRKY65/ATIRT1/ANAC013/NA/NA/NIP6/NA/MAN1/ATMYB2/NA/CRK10/ATSBT4.12/ATMSRB3/IAA26/NA/ATSPX4/PIP2;4/PYE/AFB1/BTS/BCE2/ATIPS1/AtMYB28/ATTIP2;3/ATATG18H/ATWRKY9/ATMYB29/NA/NA/NA/NA/ATL31/BAT1/ZIP3/TRI/PDLZ2/NA/NA/DGD2/NA/NA/AtNIP5;1/NA/STOP2/WDL3/CRK36/AKT1/ATOCT6/CYP705A8/CYP87A2",128
"GO:0009813","GO:0009813","flavonoid biosynthetic process","93/3294","217/20876",1.31829978548654e-21,1.15818637542133e-19,8.3345650923147e-20,"NA/ELIP/KCS2/ATFLS1/AtRbcX1/DFR/ATMYBL2/A11/ATCAD5/KAI2/PGDH/ATGSTF12/ECT8/ATCHS/ANS/AtCHIL/NA/NA/NA/UGT78D2/NA/NA/ATMYB75/CYP75B1/JAZ12/NA/NA/CCD4/EDF4/NA/ATRHM1/NA/BLH1/NA/ATRNS1/NA/KAT5/BBX22/ATCPK32/NA/ATPAL1/CYP71B7/BRT1/GT72B1/ATFLS5/NA/SDR1/ATPPT2/ATSYP122/UF3GT/NA/NA/AT-SYR1/AT5MAT/NA/NA/NA/TT15/ARR4/NA/ATMYB12/AAP2/4CL3/NA/NA/NA/ABCG29/NET1D/ACA11/ABCI21/AtTT8/NA/NF-YA4/NA/ATPSK5/NA/NA/AtBG2/ATSRG1/NF-YA10/DMR6/ATMYB111/AtNCS1/4CL2/UGT84A1/NA/NA/BEN1/NA/PR-5/NA/NA/ATMYB11",93
"GO:0031667","GO:0031667","response to nutrient levels","124/3294","335/20876",1.32701176050821e-21,1.15818637542133e-19,8.3345650923147e-20,"RD2/PY/UBC32/ATACP5/NA/PIP1;4/ASN1/NA/NA/CAT2/NA/ATMGL/NA/DALL3/SUE4/AtPIP2;1/PYD4/NA/AtGDPD2/AtNPF7.3/AKINBETA1/NF-YA7/PYD1/ATCAT3/ATPRP3/NA/PIP2;5/NA/ATRNS1/HIPP22/NA/MEE31/ATATG8E/NA/CYP76C2/RHS13/NA/ATCRY1/AtATL15/MAP18/NF-YA5/NA/ATFLS5/ACO5/NA/CAT1/HRS1/NA/NA/NA/NA/NA/ATPT1/ATPPC3/NA/AGP22/AT4/VHA-A2/MBS1/ATIPS2/ATPHO1/ATSERAT2;1/SEL1/AtPPsPase1/MLP329/ATMSRB7/AtZIP2/APS3/NA/SIB1/LPR1/ALN/NA/ATWRKY65/ATIRT1/ANAC013/NA/NA/NIP6/NA/MAN1/ATMYB2/NA/CRK10/ATSBT4.12/ATMSRB3/IAA26/NA/ATSPX4/PIP2;4/PYE/AFB1/BTS/BCE2/ATIPS1/AtMYB28/ATTIP2;3/ATATG18H/ATWRKY9/ATMYB29/NA/NA/NA/NA/ATL31/BAT1/ZIP3/TRI/PDLZ2/GES/NA/NA/DGD2/NA/NA/AtNIP5;1/NA/STOP2/WDL3/CRK36/AKT1/ATEDS1/CYP705A8/CYP87A2",124
"GO:0002682","GO:0002682","regulation of immune system process","145/3294","424/20876",3.22166612163119e-21,2.66380919846453e-19,1.91693596378499e-19,"COR15/ATPCB/ABI1/ATCAL4/AFP1/AZI1/ADC2/RCA/EARLI1/AtHIR2/BBX14/ATCAD5/PGDH/NA/ACX1/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtDBP1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/ATERF-2/NA/BBX22/ATCPK32/NA/SGT1A/CYP71B7/AtPUB23/ATWRKY18/GT72B1/CYP79B3/ATSYP122/NA/CYP71B15/NA/NA/AT-SYR1/LURP1/NA/NA/NA/NA/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/SIB1/ARA8/AtIPCS2/ARCK1/AIF1/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/NA/LOL1/NA/CBP60a/ATCBL2/JAS1/RHF1A/ATWRKY54/ATPSK5/NA/AS1/RIN4/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/NA/RIN2/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/MKS1/ATEDS1/ILL6/TCP5/NA/ANK/NA",145
"GO:0031669","GO:0031669","cellular response to nutrient levels","117/3294","312/20876",5.4606197467231e-21,4.28931681105099e-19,3.08668716209506e-19,"RD2/UBC32/ATACP5/PIP1;4/ASN1/NA/NA/CAT2/NA/ATMGL/NA/DALL3/SUE4/AtPIP2;1/PYD4/NA/AtGDPD2/AtNPF7.3/AKINBETA1/NF-YA7/PYD1/ATCAT3/ATPRP3/NA/PIP2;5/NA/ATRNS1/HIPP22/NA/ATATG8E/NA/CYP76C2/RHS13/NA/ATCRY1/MAP18/NF-YA5/NA/ATFLS5/ACO5/NA/CAT1/HRS1/NA/NA/NA/NA/NA/ATPT1/ATPPC3/NA/AGP22/AT4/VHA-A2/MBS1/ATIPS2/ATPHO1/ATSERAT2;1/SEL1/AtPPsPase1/MLP329/AtZIP2/APS3/NA/SIB1/LPR1/ALN/NA/ATWRKY65/ATIRT1/ANAC013/NA/NA/NIP6/NA/MAN1/ATMYB2/NA/CRK10/ATSBT4.12/ATMSRB3/IAA26/NA/ATSPX4/PIP2;4/PYE/AFB1/BTS/BCE2/ATIPS1/AtMYB28/ATTIP2;3/ATATG18H/ATWRKY9/ATMYB29/NA/NA/NA/NA/ATL31/BAT1/ZIP3/TRI/PDLZ2/NA/NA/DGD2/NA/NA/AtNIP5;1/NA/STOP2/WDL3/CRK36/AKT1/CYP705A8/CYP87A2",117
"GO:0035556","GO:0035556","intracellular signal transduction","161/3294","495/20876",6.60985747331078e-21,4.94480290027202e-19,3.55838943675979e-19,"COR15/ALDH7B4/ABI1/ATCAL4/ATEBP/RCA/GBF3/ATCML9/BBX14/ABF3/ATMAPK3/ATSZF1/ATLFNR2/ATWRKY33/BETA/ATCIPK6/NA/AtWAK1/AtMYB74/AtTCP11/ATPD/ATPGIP2/NA/ATERF-1/AHP4/CML38/ATBI-1/ACAM-4/ATERF6/CIPK1/ATWRKY40/BLH1/NA/NA/ACO4/NA/NA/NA/BGLU26/ATERF-2/ARR7/NA/ACAM-1/NA/NA/BBX22/ATCPK32/AtWRKY22/AtWRKY15/AtPUB23/JAZ7/NA/NA/ATSYP122/CYP71B15/ATCIPK14/ESE3/NA/AT-SYR1/NA/ATCMPG1/LURP1/ABF4/AtPIF4/CAD1/AtIQM1/AtSOT1/ATEXO70B1/NA/ATLOX4/AtMYB51/NIMIN-1/AtNUDT7/AtERF98/CYP71A13/SIB1/ARA8/RRTF1/ARCK1/AIF1/AtbZIP3/AtMYB70/HSR8/ATWRKY53/TGA3/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/ANAC092/NA/NA/ATPLC4/ATCBL2/CYP71B22/NA/AZF2/NA/RHF1A/ATMYB7/ATWRKY54/EBF2/NA/NA/NA/ETR2/ORA59/RLK1/ADL1E/ATERF-5/AtCAF1a/NA/ATRALF1/AtRLP32/AtBG2/ATPLC/AtMYB32/NA/NSL1/DMR6/GATL10/ZFP8/ATCBL10/ATSZF2/ATERF11/NA/TBL17/AT-HSFB2A/AOC3/ATL31/ZAT11/NA/ABCG40/ATL2/NA/SARD1/NA/NA/ABA3/ATERF#011/AtCAF1b/NA/DGD2/ATERF13/AtERF73/NA/AtSAC9/PR-5/CRK36/AtRPK1/AOX1D/ATEDS1/ATCMPG2/ATERF15/ATWRKY27/TCP5/AtVPS15/NA/ANK/NA",161
"GO:0045088","GO:0045088","regulation of innate immune response","143/3294","419/20876",7.53154051194535e-21,5.37820461103006e-19,3.87027488508579e-19,"COR15/ATPCB/ABI1/ATCAL4/AFP1/AZI1/ADC2/RCA/EARLI1/AtHIR2/BBX14/ATCAD5/PGDH/NA/ACX1/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/ATERF-2/NA/BBX22/ATCPK32/NA/SGT1A/CYP71B7/AtPUB23/GT72B1/CYP79B3/ATSYP122/NA/CYP71B15/NA/NA/AT-SYR1/LURP1/NA/NA/NA/NA/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/SIB1/ARA8/AtIPCS2/ARCK1/AIF1/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/NA/LOL1/NA/CBP60a/ATCBL2/JAS1/RHF1A/ATWRKY54/ATPSK5/NA/AS1/RIN4/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/NA/RIN2/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/MKS1/ATEDS1/ILL6/TCP5/NA/ANK/NA",143
"GO:0009812","GO:0009812","flavonoid metabolic process","99/3294","244/20876",8.23728749738879e-21,5.62642550365121e-19,4.04890012457463e-19,"NA/ELIP/KCS2/ATFLS1/AtRbcX1/DFR/ATMYBL2/A11/ATCAD5/KAI2/AtBGLU10/PGDH/ATGSTF12/ECT8/ATCHS/ANS/AtCHIL/NA/NA/NA/UGT78D2/NA/NA/ATMYB75/CYP75B1/JAZ12/NA/NA/CCD4/EDF4/NA/ATRHM1/NA/BLH1/NA/ATRNS1/ARR7/NA/KAT5/BBX22/ATCPK32/NA/ATCRY1/ATPAL1/CYP71B7/BRT1/GT72B1/ATFLS5/NA/SDR1/ATPPT2/ATSYP122/UF3GT/NA/NA/AT-SYR1/AT5MAT/NA/NA/NA/ATDTX35/TT15/ARR4/NA/ATMYB12/PAP3/AAP2/4CL3/NA/NA/NA/ABCG29/NET1D/ACA11/ABCI21/AtTT8/NA/NF-YA4/NA/ATPSK5/NA/NA/AtBG2/ATSRG1/NF-YA10/DMR6/ATMYB111/AtNCS1/4CL2/UGT84A1/NA/NA/BEN1/NA/UGT76C2/PR-5/NA/NA/ATMYB11",99
"GO:0010363","GO:0010363","regulation of plant-type hypersensitive response","131/3294","371/20876",1.17673957389059e-20,7.70274112742547e-19,5.5430627296425e-19,"COR15/ABI1/ATCAL4/AFP1/AZI1/ADC2/RCA/EARLI1/AtHIR2/BBX14/ATCAD5/PGDH/NA/ACX1/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/NA/BBX22/ATCPK32/NA/CYP71B7/AtPUB23/GT72B1/ATSYP122/NA/CYP71B15/NA/NA/AT-SYR1/LURP1/NA/NA/NA/NA/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/ARA8/AtIPCS2/AIF1/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/NA/LOL1/NA/ATCBL2/RHF1A/ATWRKY54/ATPSK5/RIN4/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/NA/RIN2/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/ATEDS1/TCP5/NA/ANK/NA",131
"GO:0050776","GO:0050776","regulation of immune response","143/3294","421/20876",1.24247333757601e-20,7.80770245332766e-19,5.61859521918584e-19,"COR15/ATPCB/ABI1/ATCAL4/AFP1/AZI1/ADC2/RCA/EARLI1/AtHIR2/BBX14/ATCAD5/PGDH/NA/ACX1/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/ATERF-2/NA/BBX22/ATCPK32/NA/SGT1A/CYP71B7/AtPUB23/GT72B1/CYP79B3/ATSYP122/NA/CYP71B15/NA/NA/AT-SYR1/LURP1/NA/NA/NA/NA/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/SIB1/ARA8/AtIPCS2/ARCK1/AIF1/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/NA/LOL1/NA/CBP60a/ATCBL2/JAS1/RHF1A/ATWRKY54/ATPSK5/NA/AS1/RIN4/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/NA/RIN2/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/MKS1/ATEDS1/ILL6/TCP5/NA/ANK/NA",143
"GO:0071396","GO:0071396","cellular response to lipid","133/3294","381/20876",1.88801840225636e-20,1.14079881151721e-18,8.20944034017544e-19,"NA/AHG3/ABI1/ATHB-7/GASA6/AFP3/ACO2/ABF2/AFP1/PYL4/MERI-5/ANAC072/ADC2/HAI1/NA/AtSWEET15/ATPLDDELTA/ATBT2/LTI65/GBF3/ABI2/ABF3/ATMAPK3/PYR1/PYL5/AtbZIP63/NA/ANAC019/SNRK2-2/AtPDCB1/AtMYB74/PYL8/ATERF-1/14-3-3KAPPA/AIP1/ABF1/CML38/ATBI-1/BEE2/ATMYB90/ATWRKY40/ATBETAFRUCT4/RACK1C/ACO4/CIPK3/NA/NA/NA/RACK1B/BES1/ATCPK32/NF-YA5/ATMDAR3/JAZ7/UGT74E2/BRS1/ACO1/ATM4/ANAC002/ATSYP122/ARL/ESE3/ABI5/THE1/AT-SYR1/RGA/ARR9/ABF4/EDL3/ATOST1/ATSK21/PLD/ATEXO70B1/TTL3/PAP3/AtNUDT7/ATBG1/AIF1/CuAO1/AIRP1/AIP2/TRM3/TAT/RHA2A/HSR8/JAZ2/ATMYB2/PYL1/ATCDPK2/AtPNC2/ANAC092/NA/JAS1/PIF1/NA/AZF2/CYP94C1/AFP2/NA/PYL2/GATA21/PBP1/NA/ATPLC/NA/NA/GATL10/5PTASE2/ATERF11/JAZ5/TBL17/ATKS/AOC3/BAM2/ATL31/ATM17/NF-YC4/ABCG40/ABA3/ATERF#011/AtCAF1b/GES/DGD2/ATERF13/NA/CRK36/AtRPK1/AOX1D/CGA1/ARAC8/ATDOG1/ABR1/YUC8",133
"GO:0009626","GO:0009626","plant-type hypersensitive response","137/3294","400/20876",3.50183686662735e-20,2.03755026573021e-18,1.46626619678665e-18,"COR15/ABI1/ATCAL4/AFP1/AZI1/ADC2/RCA/EARLI1/AtHIR2/BBX14/ATCAD5/PGDH/NA/ACX1/ATMAPK3/DALL3/(AT)SRC2/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/ANAC019/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/JAZ12/ATBI-1/NA/EDF4/NA/ATWRKY40/BLH1/NA/AR781/ACO4/NA/NA/BGLU26/NA/BBX22/ATCPK32/ATCAD8/NA/CYP71B7/AtBRN1/AtPUB23/GT72B1/ATSYP122/NA/CYP71B15/NA/NA/AT-SYR1/ATMYB30/LURP1/NA/NA/NA/NA/ATCAD7/AtPIF4/ARR4/CAD1/AtIQM1/AtSOT1/AAP2/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/ARA8/AtIPCS2/AIF1/ATCNGC4/ABCG29/ATWRKY53/NET1D/ACA11/TGA3/DELTA-OAT/JAZ2/OBP2/AtRLP33/AtRLP19/NA/AtPNC2/NA/LOL1/NA/ATCBL2/RHF1A/ATWRKY54/ATPSK5/RIN4/NA/NA/RLK1/ADL1E/AtRLP32/AtBG2/ATPLC/NSL1/DMR6/BIK1/ZFP8/ATSZF2/ATERF11/NA/RIN2/ATNPR3/AOC3/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ATERF13/NA/NA/PR-5/NA/CRK36/NA/AtRPK1/ATEDS1/TCP5/NA/ANK/NA",137
"GO:0050832","GO:0050832","defense response to fungus","125/3294","351/20876",4.0122159668925e-20,2.25113974428147e-18,1.61996990542953e-18,"LEA14/LTI30/ATPCB/AtCLO3/COR15B/ABI1/NA/AtCOR47/RD21/CER1/AZI1/RCA/EARLI1/AtHIR2/NA/ACX1/NA/ATMAPK3/ATSZF1/ATLFNR2/ATWRKY33/BETA/RLM3/AtPRX71/NA/NA/AtWAK1/ATPD/ATMYB75/ATBI-1/ACBP3/NA/ATWRKY40/ACO4/NA/BGLU26/ATCPK32/SGT1A/TET8/NA/ATGST11/AtPUB23/ATWRKY18/CIPK25/NA/CYP81F2/ATSYP122/CYP71B15/ATRBOHD/NA/AT-SYR1/LURP1/NA/CYP707A1/ATIPS2/NA/CAD1/AtIQM1/AtSOT1/ATBCB/AtMYB51/NIMIN-1/AtNUDT7/CYP71A13/NA/SIB1/ATTI1/ATBG1/ARA8/AtIPCS2/RRTF1/ARCK1/AGK2/ATGRXS13/ATWRKY53/TGA3/OBP2/NA/ATMLO12/IOS1/NA/ATWRKY54/AS1/NA/ADL1E/RPP4/NA/AtBG2/AT-RLK3/NSL1/ATCCR2/DMR6/BIK1/ATSZF2/ATERF11/AtMYB28/FMO/NA/ATNPR3/ATMYB29/AOC3/OCP3/NA/ABCG40/CAMTA3/ATL2/SARD1/NA/ABA3/NA/DGD2/WAKL2/NA/PR-5/CRK36/NA/AtRPK1/ATWRKY51/ATEDS1/ATCMPG2/ABR1/NA/ANK/NA/NOXY2",125
